ksh_settlement_code,settlement_name,operator_id,network_operator,service_area_id,coverage_scope,usage_location_requirement,source_ids,evidence_status,status,notes
17686,Ágasegyháza,MVM_DEMASZ,MVM Démász Áramhálózati Kft.,MVM_DEMASZ:SERVICE_AREA,WHOLE_SETTLEMENT,NONE,SRC-B10-MVM-DEMASZ-SERVICE-AREA-2026;SRC-B10-KSH-HNK-2019-SETTLEMENT-IDS,OBS,WHOLE_SETTLEMENT_MEMBERSHIP_PROVEN,Official DSO whole-settlement fact joined to immutable official KSH five-digit settlement identifier.
21944,Akasztó,MVM_DEMASZ,MVM Démász Áramhálózati Kft.,MVM_DEMASZ:SERVICE_AREA,WHOLE_SETTLEMENT,NONE,SRC-B10-MVM-DEMASZ-SERVICE-AREA-2026;SRC-B10-KSH-HNK-2019-SETTLEMENT-IDS,OBS,WHOLE_SETTLEMENT_MEMBERSHIP_PROVEN,Official DSO whole-settlement fact joined to immutable official KSH five-digit settlement identifier.
21148,Apostag,MVM_DEMASZ,MVM Démász Áramhálózati Kft.,MVM_DEMASZ:SERVICE_AREA,WHOLE_SETTLEMENT,NONE,SRC-B10-MVM-DEMASZ-SERVICE-AREA-2026;SRC-B10-KSH-HNK-2019-SETTLEMENT-IDS,OBS,WHOLE_SETTLEMENT_MEMBERSHIP_PROVEN,Official DSO whole-settlement fact joined to immutable official KSH five-digit settlement identifier.
10719,Bácsalmás,MVM_DEMASZ,MVM Démász Áramhálózati Kft.,MVM_DEMASZ:SERVICE_AREA,WHOLE_SETTLEMENT,NONE,SRC-B10-MVM-DEMASZ-SERVICE-AREA-2026;SRC-B10-KSH-HNK-2019-SETTLEMENT-IDS,OBS,WHOLE_SETTLEMENT_MEMBERSHIP_PROVEN,Official DSO whole-settlement fact joined to immutable official KSH five-digit settlement identifier.
10180,Bácsbokod,MVM_DEMASZ,MVM Démász Áramhálózati Kft.,MVM_DEMASZ:SERVICE_AREA,WHOLE_SETTLEMENT,NONE,SRC-B10-MVM-DEMASZ-SERVICE-AREA-2026;SRC-B10-KSH-HNK-2019-SETTLEMENT-IDS,OBS,WHOLE_SETTLEMENT_MEMBERSHIP_PROVEN,Official DSO whole-settlement fact joined to immutable official KSH five-digit settlement identifier.
27234,Bácsborsód,MVM_DEMASZ,MVM Démász Áramhálózati Kft.,MVM_DEMASZ:SERVICE_AREA,WHOLE_SETTLEMENT,NONE,SRC-B10-MVM-DEMASZ-SERVICE-AREA-2026;SRC-B10-KSH-HNK-2019-SETTLEMENT-IDS,OBS,WHOLE_SETTLEMENT_MEMBERSHIP_PROVEN,Official DSO whole-settlement fact joined to immutable official KSH five-digit settlement identifier.
08697,Bácsszentgyörgy,MVM_DEMASZ,MVM Démász Áramhálózati Kft.,MVM_DEMASZ:SERVICE_AREA,WHOLE_SETTLEMENT,NONE,SRC-B10-MVM-DEMASZ-SERVICE-AREA-2026;SRC-B10-KSH-HNK-2019-SETTLEMENT-IDS,OBS,WHOLE_SETTLEMENT_MEMBERSHIP_PROVEN,Official DSO whole-settlement fact joined to immutable official KSH five-digit settlement identifier.
30155,Bácsszőlős,MVM_DEMASZ,MVM Démász Áramhálózati Kft.,MVM_DEMASZ:SERVICE_AREA,WHOLE_SETTLEMENT,NONE,SRC-B10-MVM-DEMASZ-SERVICE-AREA-2026;SRC-B10-KSH-HNK-2019-SETTLEMENT-IDS,OBS,WHOLE_SETTLEMENT_MEMBERSHIP_PROVEN,Official DSO whole-settlement fact joined to immutable official KSH five-digit settlement identifier.
13408,Ballószög,MVM_DEMASZ,MVM Démász Áramhálózati Kft.,MVM_DEMASZ:SERVICE_AREA,WHOLE_SETTLEMENT,NONE,SRC-B10-MVM-DEMASZ-SERVICE-AREA-2026;SRC-B10-KSH-HNK-2019-SETTLEMENT-IDS,OBS,WHOLE_SETTLEMENT_MEMBERSHIP_PROVEN,Official DSO whole-settlement fact joined to immutable official KSH five-digit settlement identifier.
25937,Balotaszállás,MVM_DEMASZ,MVM Démász Áramhálózati Kft.,MVM_DEMASZ:SERVICE_AREA,WHOLE_SETTLEMENT,NONE,SRC-B10-MVM-DEMASZ-SERVICE-AREA-2026;SRC-B10-KSH-HNK-2019-SETTLEMENT-IDS,OBS,WHOLE_SETTLEMENT_MEMBERSHIP_PROVEN,Official DSO whole-settlement fact joined to immutable official KSH five-digit settlement identifier.
12441,Abádszalók,OPUS_TITASZ,OPUS TITÁSZ Áramhálózati Zrt.,OPUS_TITASZ:SERVICE_AREA,WHOLE_SETTLEMENT,NONE,SRC-B10-OPUS-TITASZ-M1-2026;SRC-B10-KSH-HNK-2019-SETTLEMENT-IDS,OBS,WHOLE_SETTLEMENT_MEMBERSHIP_PROVEN,Current 2026 M1 whole-settlement fact joined to immutable official KSH five-digit settlement identifier.
27872,Abony,OPUS_TITASZ,OPUS TITÁSZ Áramhálózati Zrt.,OPUS_TITASZ:SERVICE_AREA,WHOLE_SETTLEMENT,NONE,SRC-B10-OPUS-TITASZ-M1-2026;SRC-B10-KSH-HNK-2019-SETTLEMENT-IDS,OBS,WHOLE_SETTLEMENT_MEMBERSHIP_PROVEN,Current 2026 M1 whole-settlement fact joined to immutable official KSH five-digit settlement identifier.
08776,Ajak,OPUS_TITASZ,OPUS TITÁSZ Áramhálózati Zrt.,OPUS_TITASZ:SERVICE_AREA,WHOLE_SETTLEMENT,NONE,SRC-B10-OPUS-TITASZ-M1-2026;SRC-B10-KSH-HNK-2019-SETTLEMENT-IDS,OBS,WHOLE_SETTLEMENT_MEMBERSHIP_PROVEN,Current 2026 M1 whole-settlement fact joined to immutable official KSH five-digit settlement identifier.
25265,Alattyán,OPUS_TITASZ,OPUS TITÁSZ Áramhálózati Zrt.,OPUS_TITASZ:SERVICE_AREA,WHOLE_SETTLEMENT,NONE,SRC-B10-OPUS-TITASZ-M1-2026;SRC-B10-KSH-HNK-2019-SETTLEMENT-IDS,OBS,WHOLE_SETTLEMENT_MEMBERSHIP_PROVEN,Current 2026 M1 whole-settlement fact joined to immutable official KSH five-digit settlement identifier.
