source_id,module_id,layer,title,institution,url,reference_period,retrieved_at,source_tier,evidence_status,license_status,local_snapshot_status,notes
SRC-B05-JRC-COP-2023,B05,PHYSICAL_PERFORMANCE,Heat pump efficiency and COP definition,European Commission Joint Research Centre,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC134991/JRC134991_01.pdf,2023-01-01,2026-08-22,P1,OBS,Public official report,not stored,COP definition and physical boundary metadata.
SRC-B05-JRC-EN14511-EN14825-2017,B05,PHYSICAL_PERFORMANCE,Test method EN 14825 and relationship to EN 14511,European Commission Joint Research Centre,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC109209/kjnc28961enn.pdf,2017-01-01,2026-08-22,P1,OBS,Public official report,not stored,Method summary only; standards text not reproduced.
SRC-B05-EPREL-2026,B05,PHYSICAL_PERFORMANCE,European Product Registry for Energy Labelling,European Commission,https://energy-efficient-products.ec.europa.eu/eprel_en,current public product registry,2026-08-22,P1,OBS,Public registry; API requires key,not stored,Product performance acquisition gate.
SRC-B05-EPREL-SPACEHEATERS-2026,B05,PHYSICAL_PERFORMANCE,EPREL space-heater heat-pump public search,European Commission,https://eprel.ec.europa.eu/screen/product/spaceheaters,current public product search,2026-08-22,P1,OBS,Public registry,not stored,Rated output/seasonal data do not replace operating-point data.
SRC-B05-HUNGARY-MET-ARCHIVE-2026,B05,WEATHER_INPUT,Meteorológiai Adattár,HungaroMet / Országos Meteorológiai Szolgálat,https://www.met.hu/omsz/tevekenysegek/adattar/,current open-data policy,2026-08-22,P1,OBS,Open data with stated terms,not stored,Weather source gate.
SRC-B05-HUNGARY-HOURLY-2026,B05,WEATHER_INPUT,Automata állomások órás adatai,HungaroMet / Meteorológiai Adattár,https://odp.met.hu/climate/observations_hungary/hourly/,current hourly observations,2026-08-22,P1,OBS,Public directory,not stored,Canonical official ODP directory; station selection and 1-in-10 definition remain Q.
SRC-B05-EU-HEATPUMP-REG-2016,B05,PHYSICAL_PERFORMANCE,Commission Regulation (EU) 2016/2281 heat-pump test and seasonal data,European Commission,https://eur-lex.europa.eu/eli/reg/2016/2281/oj,2016-05-30,2026-08-22,P1,POL,Official legal text,not stored,Regulatory test/bin metadata.
SRC-B05-SYNTHETIC-TEST-GRID,B05,TEST_FIXTURE,Bounded synthetic performance grid for unit tests,Repository test fixture,https://github.com/Anonymoos-Rommel/hoszivattyu-akkumulator-orszagos-modell,2026-08-22,2026-08-22,P4,SCN,Repository-owned test fixture,not stored,Test-only values; not product or national evidence.
SRC-B05-VAILLANT-AROTHERM-SPLIT-2019,B05,PHYSICAL_PERFORMANCE,aroTHERM Split technical information,Vaillant Group UK Ltd.,https://professional.vaillant.co.uk/downloads/aproducts/renewables-1/arotherm-split-1/vaillant-arotherm-split-1-0-lr-1454128.pdf,2019-01-01,2026-08-22,P2,OBS,Public manufacturer PDF,not stored,Source-native A-7/A2/A7 W35 and A7/W55 points for 3.5/7/12 kW classes.
SRC-B05-VAILLANT-AROTHERM-PLUS-2020,B05,PHYSICAL_PERFORMANCE,aroTHERM plus 230V single technical data,Vaillant Group UK Ltd.,https://professional.vaillant.co.uk/downloads/product-brochures/arotherm-plus-230v-single-2626670.pdf,2020-08-20,2026-08-22,P2,OBS,Public manufacturer PDF,not stored,Source-native A2/A7 W35 and A7/W45/W55 plus A-7/W35 points and a modulation range.
SRC-B05-VAILLANT-SPLIT-EU-ORIGIN-2019,B05,PHYSICAL_PERFORMANCE,aroTHERM Split EU manufacturing statement,Vaillant Group UK Ltd.,https://professional.vaillant.co.uk/downloads/aproducts/renewables-1/arotherm-split-1/vaillant-arotherm-split-1-0-lr-1454128.pdf,2019-01-01,2026-08-22,P2,OBS,Public manufacturer PDF,not stored,Manufacturer states products are developed in Germany and manufactured exclusively in the EU; origin gate for aroTHERM Split.
SRC-B05-VAILLANT-PLUS-EU-ORIGIN-2020,B05,PHYSICAL_PERFORMANCE,aroTHERM plus European production statement,Vaillant Group,https://www.vaillant-group.com/newsroom/publications/2020/tc-magazine/vgtakingcaremag19-20-1752679-en.pdf,2020-01-01,2026-08-22,P2,OBS,Public manufacturer publication,not stored,Manufacturer describes aroTHERM plus component production in Slovakia and France; separate origin gate.
SRC-B05-STIEBEL-HPA-O-CS-PLUS-2022,B05,PHYSICAL_PERFORMANCE,HPA-O CS Plus int technical and installation manual,STIEBEL ELTRON,https://www.stiebel-eltron.com/static/ste/docportal/manual/DM0000113814-fjw.pdf,undated,2026-08-22,P2,OBS,Public manufacturer PDF,not stored,Source-native A-7/A2/A7 W35 and W45 capacity, total input and COP for HPA-O 4/8 CS Plus int; Made in Germany type-plate evidence in the manual; P4 cold-side table is tracked separately.
