variable_id,module_id,layer,name,definition,unit,status,source_ids,updated_at,notes
VAR-B03-TTF-EUR-PER-MWH,B03,WHOLESALE_IMPORT,TTF benchmark price,Licensed or official TTF day-ahead/forward benchmark,EUR/MWh,Q,SRC-B03-ACER-TTF-2026;SRC-B03-EEX-GAS-MARKETS-2026;SRC-B03-ICE-TTF-FUTURES-2026,2026-08-22,"No local numeric snapshot until export/licence gate closes."
VAR-B03-EUR-HUF-RATE,B03,FX,EUR/HUF rate,Official MNB EUR/HUF observation,HUF/EUR,OBS,SRC-B03-MNB-FX-2026,2026-08-22,"Only dated observations in gas_price_history.csv are OBS; full series remains Q."
VAR-B03-HEATING-VALUE-MJ-PER-M3,B03,WHOLESALE_IMPORT,Lower heating value,Point- and period-specific gas heating value,MJ/m3,Q,SRC-B03-FGSZ-GAS-QUALITY-2026;SRC-B03-MVM-GAS-QUALITY-2026,2026-08-22,"No single national constant is permitted."
VAR-B03-HEATING-VALUE-KWH-PER-M3,B03,WHOLESALE_IMPORT,Lower heating value in kWh,Helper representation of point- and period-specific gas heating value,kWh/m3,Q,SRC-B03-FGSZ-GAS-QUALITY-2026;SRC-B03-MVM-GAS-QUALITY-2026,2026-08-22,"Helper input for unit identity only; no national constant is inferred."
VAR-B03-WHOLESALE-HUF-PER-M3,B03,WHOLESALE_IMPORT,Wholesale import value,TTF/EEX/ICE benchmark converted through FX and heating value,HUF/m3,DER,SRC-B03-ACER-TTF-2026;SRC-B03-MNB-FX-2026;SRC-B03-FGSZ-GAS-QUALITY-2026,2026-08-22,"Derived contract output; remains non-runnable while input observations are Q."
VAR-B03-MARKET-COMPONENT-BRIDGE,B03,MARKET_RESIDENTIAL_FINAL,Market residential component bridge,Commodity plus network storage commercial tax VAT and other,HUF/m3,Q,SRC-B03-EUROSTAT-GAS-PRICES-2026,2026-08-22,"Every component is required; missing component fails closed."
VAR-B03-MARKET-RESIDENTIAL-HUF-PER-M3,B03,MARKET_RESIDENTIAL_FINAL,Market residential final price,Full market-based household final unit price,HUF/m3,Q,SRC-B03-EUROSTAT-GAS-PRICES-2026;SRC-B03-MVM-GAS-TARIFFS-2026,2026-08-22,"Never substituted by wholesale or regulated tariff."
VAR-B03-REGULATED-DISCOUNTED-HUF-PER-M3,B03,REGULATED_RESIDENTIAL_TARIFF,Discounted regulated unit price,Current universal-service discounted-band unit price,HUF/m3,Q,SRC-B03-MVM-GAS-TARIFFS-2026,2026-08-22,"Exact unit price not locally snapshotted."
VAR-B03-REGULATED-ABOVE-THRESHOLD-HUF-PER-M3,B03,REGULATED_RESIDENTIAL_TARIFF,Above-threshold regulated unit price,Current unit price above the annual protected threshold,HUF/m3,Q,SRC-B03-MVM-GAS-TARIFFS-2026,2026-08-22,"Exact unit price not locally snapshotted."
VAR-B03-REGULATED-THRESHOLD-M3,B03,REGULATED_RESIDENTIAL_TARIFF,Annual protected threshold,Annual discounted consumption threshold,m3,OBS,SRC-B03-MVM-GAS-TARIFFS-2026,2026-08-22,"At least 1,729 m3 per service year."
VAR-B03-REGULATED-THRESHOLD-MJ,B03,REGULATED_RESIDENTIAL_TARIFF,Annual protected threshold energy,Annual discounted energy threshold,MJ,OBS,SRC-B03-MVM-GAS-TARIFFS-2026,2026-08-22,"63,645 MJ per service year."
VAR-B03-REGULATED-ANNUAL-COST-HUF,B03,REGULATED_RESIDENTIAL_TARIFF,Regulated annual gas cost,Annual cost under discounted and above-threshold bands,HUF,DER,SRC-B03-MVM-GAS-TARIFFS-2026,2026-08-22,"Formula output; remains non-runnable until both unit prices are observed."
VAR-B03-REGULATED-DISCOUNTED-NET-HUF-PER-MJ,B03,REGULATED_RESIDENTIAL_TARIFF,Discounted A1 net gas charge,Official A1 discounted gas charge for residential consumers under 20 m3/h,Ft/MJ,OBS,SRC-B03-MVM-REGULATED-TARIFF-F4-2026;SRC-B03-MVM-GAS-BILLING-2026,2026-08-22,"Official source unit is net 2.256 Ft/MJ; no exact universal Ft/m3 is inferred."
VAR-B03-REGULATED-HIGHER-NET-HUF-PER-MJ,B03,REGULATED_RESIDENTIAL_TARIFF,Above-threshold net gas charge,Official residential price reflecting market costs above the discounted band,Ft/MJ,OBS,SRC-B03-MVM-REGULATED-TARIFF-F4-2026,2026-08-22,"Official net price 17.324 Ft/MJ."
VAR-B03-REGULATED-VAT-RATE,B03,REGULATED_RESIDENTIAL_TARIFF,Residential VAT rate,Applicable Hungarian VAT rate for residential billing,ratio,OBS,SRC-B03-MVM-GAS-BILLING-2026,2026-08-22,"27 percent VAT; gross values must be explicit."
VAR-B03-REGULATED-DISCOUNTED-GROSS-HUF-PER-MJ,B03,REGULATED_RESIDENTIAL_TARIFF,Discounted A1 gross gas charge,Discounted net charge increased by the applicable VAT,Ft/MJ,DER,SRC-B03-MVM-REGULATED-TARIFF-F4-2026;SRC-B03-MVM-GAS-BILLING-2026,2026-08-22,"2.256 × 1.27 = 2.86512 Ft/MJ; DER from observed net price and VAT."
VAR-B03-REGULATED-HIGHER-GROSS-HUF-PER-MJ,B03,REGULATED_RESIDENTIAL_TARIFF,Above-threshold gross gas charge,Official residential market-cost-reflecting price including VAT,Ft/MJ,OBS,SRC-B03-MVM-REGULATED-TARIFF-F4-2026,2026-08-22,"Official gross price 22.002 Ft/MJ."
VAR-B03-REGULATED-REFERENCE-HEATING-VALUE-MJ-PER-M3,B03,REGULATED_RESIDENTIAL_TARIFF,Illustrative reference heating value,MVM calculator reference heating value for illustrative m3 conversion,MJ/m3,OBS,SRC-B03-MVM-GAS-CALCULATOR-2026,2026-08-22,"34.87 MJ/m3 with correction factor 1; reference only, not a universal billing observation."
VAR-B03-REGULATED-DISCOUNTED-ILLUSTRATIVE-HUF-PER-M3,B03,REGULATED_RESIDENTIAL_TARIFF,Illustrative discounted gross price per m3,Discounted gross Ft/MJ multiplied by illustrative reference heating value,Ft/m3,DER,SRC-B03-MVM-REGULATED-TARIFF-F4-2026;SRC-B03-MVM-GAS-CALCULATOR-2026,2026-08-22,"99.9067344 Ft/m3 at 34.87 MJ/m3; illustrative DER only."
