dimension_id,module_id,name,source_dataset_ids,source_dimension_ids,role,canonical_grain,observability,required,aggregation_rule,unknown_policy,status,notes
DIM-B02-GEOGRAPHY,B02,Terület,DATA-B02-KSH-WBL011;DATA-B02-KSH-WBL017,TERUL_GEO3;TERUL_TELTIP2,stratifier,county_x_settlement_type,OBS,yes,"Vármegye és településtípus együtt alkotja a kanonikus területi kulcsot; országos és régiós összesenek kontrollértékek.",Ismeretlen területű rekord nem osztható szét automatikusan,CONTRACTED,"A járási WBL010 és WBL016 csak ellenőrző felbontás."
DIM-B02-OCCUPANCY,B02,Lakottság,DATA-B02-KSH-WBL011;DATA-B02-KSH-WBL017,LAKAS_OCS,universe_filter,dwelling,OBS,yes,"A programalap-univerzum első körben DW_OC; TOTAL és DW_NOC külön kontrollrekord.",A 9 vagy hiányzó érték nem sorolható DW_OC alá,CONTRACTED,"A végleges programjogosultság ettől még nem következik."
DIM-B02-CONSTRUCTION-PERIOD,B02,Építési időszak,DATA-B02-KSH-WBL011;DATA-B02-KSH-WBL017,EPEV_POC1,archetype_key,dwelling,OBS,yes,"A KSH levélkódok változtatás nélkül maradnak meg; TOTAL csak kontroll.",Hiányzó korcsoport maradék kategória és nem imputálható döntés nélkül,CONTRACTED,"Kódok: Y_LT1919; Y1919-1945; Y1946-1960; Y1961-1980; Y1981-2000; Y2001-2010; Y_GE2011."
DIM-B02-WALL-MATERIAL,B02,Külső falazat,DATA-B02-KSH-WBL011;DATA-B02-KSH-WBL017,FALA_V,archetype_key,dwelling,OBS,yes,"A KSH levélkódok változtatás nélkül maradnak meg; TOTAL csak kontroll.",WALL6 nem alakítható automatikusan tipikus szerkezetté,CONTRACTED,"Kódok: WALL1; WALL2; WALL3; WALL5; WALL6."
DIM-B02-FLOOR-AREA,B02,Alapterület-kategória,DATA-B02-KSH-WBL011;DATA-B02-KSH-WBL017,LAT_V,archetype_key,dwelling,OBS,yes,"A nyolc KSH m²-sáv megmarad; pontbecsléshez külön ASS vagy DER középérték-szabály kell.",Nyitott felső sávhoz nem rendelhető önkényes átlag,CONTRACTED,"Az adat alapterület-kategória, nem közvetlenül mért fűtött nettó alapterület."
DIM-B02-COMFORT,B02,Komfortosság,DATA-B02-KSH-WBL011;DATA-B02-KSH-WBL017,KOMF,eligibility_input,dwelling,OBS,yes,"A KSH kategóriák megmaradnak; alkalmassági következményt csak jóváhagyott szabály képezhet.",COMF5 és hiány nem minősíthető automatikusan alkalmasnak,CONTRACTED,"Nem azonos energetikai osztállyal."
DIM-B02-HEATING-MODE,B02,Fűtési mód,DATA-B02-KSH-WBL011,FUTES_TOH,archetype_key,dwelling,OBS,yes,"Csak nem átfedő levélkódok összegezhetők; szülő és gyermek kód együttes összeadása tilos.",Hiányzó vagy összevont kategória külön maradék,CONTRACTED,"A WBL017 FUTMODAG_V3 kombinált fűtési mód és tüzelőanyag dimenziója keresztellenőrzésre használható."
DIM-B02-HEATING-FUEL,B02,Fűtőanyag,DATA-B02-KSH-WBL011;DATA-B02-KSH-WBL017,FUTAGOK;FUTMODAG_V3,archetype_key,dwelling,OBS,yes,"A többfajta tüzelőanyag külön kategória; a hierarchikus részösszegek nem adhatók a gyermekkódokhoz.",Egyéb és többfajta tüzelőanyag nem bontható fel feltételezés nélkül,CONTRACTED,"A gázkiváltási potenciál nem azonos a FUEL11 rekorddal, mert többtüzelős lakások is lehetnek gázhasználók."
DIM-B02-HEAT-PUMP-PRESENCE,B02,Meglévő hőszivattyús fűtőberendezés,DATA-B02-KSH-WBL017,HOSZIV,baseline_flag,dwelling,OBS,yes,"1 van; 0 nincs; 9 nincs adat; TOTAL csak kontroll.",A 9 kód nem vonható össze a 0 kóddal,CONTRACTED,"Ez meglévő berendezés-ellátottság, nem műszaki alkalmasság."
DIM-B02-BUILDING-TYPE,B02,Épülettípus,,,archetype_key,building,Q,yes,Nincs elfogadott leképezés a jelen népszámlálási adatfolyamokból,Hiányzó épülettípus külön GAP és nem imputálható,GAP,"Családi ház és többlakásos épület megkülönböztetéséhez további KSH mező vagy energiatanúsítvány-kapcsolat kell."
DIM-B02-HEAT-EMITTER,B02,Hőleadó rendszer,,,eligibility_input,building,Q,yes,Nincs megfigyelt mező a jelen adatfolyamokban,Hiányzó hőleadó nem minősíthető alkalmasnak,GAP,"Radiátor padlófűtés fan-coil és tervezési előremenő hőmérséklet külön adatforrást igényel."
DIM-B02-PRIMARY-ENERGY,B02,Fajlagos primerenergia-igény,,KSH experimental model output,energy_input,dwelling,MODELLED,yes,"A KSH kísérleti becslést modellkimenetként és bizonytalansággal kell kapcsolni; nem OBS.",Hiányzó becslés nem tölthető tipikus értékkel dokumentált imputáció nélkül,PROPOSED,"A mezőszintű letölthető tábla és kapcsolókulcs még nincs lezárva."
